Time,Location,Nature,Status,date
11:56 pm,1943 S 15TH ST MKE,ShotSpotter,To be Filed View History,2024-07-15
11:56 pm,1943 S 15TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:56 pm,1943 S 15TH ST MKE,ShotSpotter,To be Filed View History,2024-07-15
11:56 pm,1943 S 15TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:51 pm,1818 S 19TH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
11:50 pm,2333 W FINN PL MKE:LOWER,Welfare Citizen,Service in Progress View History,2024-07-15
11:50 pm,2453 N 37TH ST MKE,Police Call - Transfer,Service in Progress View History,2024-07-15
11:49 pm,2333 N 49TH ST MKE: @D3,Return Station,Assignment Completed View History,2024-07-15
11:41 pm,1721 W CANAL ST MKE,Theft,Service in Progress View History,2024-07-15
11:40 pm,2473 N 33RD ST MKE:UPPER,Shooting,Assignment Completed View History,2024-07-15
11:36 pm,11333 W SILVER SPRING DR MKE: @NORWOOD INN,Welfare Citizen,Service in Progress View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Service in Progress View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Advised View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Assignment Completed View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Assignment Completed View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Advised View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Service in Progress View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Service in Progress View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Assignment Completed View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Advised View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Service in Progress View History,2024-07-15
11:34 pm,5700 S 27TH ST MKE: @GRIFFINS HUB CHRYSLER JEEP DODGE RAM,Trouble,Advised View History,2024-07-15
11:33 pm,1107 W KEEFE AVE MKE:UPPER,Battery/Fight/Assault,Service in Progress View History,2024-07-15
11:33 pm,749 W STATE ST MKE: @D1:10-100,Return Station,Assignment Completed View History,2024-07-15
11:31 pm,"LL(-87:58:24.2690,43:06:19.3032): EST 4859 W LUSCHER AVE MKE",911,Service in Progress View History,2024-07-15
11:28 pm,3053 N BARTLETT AVE MKE,Robbery,Service in Progress View History,2024-07-15
11:28 pm,"LL(-87:58:38.0211,43:03:52.5708): EST 2516 N 51ST ST MKE",911,Service in Progress View History,2024-07-15
11:27 pm,214 E FLORIDA ST MKE,911,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
